Year,Coal,Solar ,Crude oil ,Natural gas ,Traditional biofuels,Other renewables ,Hydropower ,Nuclear 
1800.0,97.0,0.0,0.0,0.0,5555.0,0.0,0.0,0.0
1810.0,127.0,0.0,0.0,0.0,5833.0,0.0,0.0,0.0
1820.0,152.0,0.0,0.0,0.0,6111.0,0.0,0.0,0.0
1830.0,263.0,0.0,0.0,0.0,6388.0,0.0,0.0,0.0
1840.0,355.0,0.0,0.0,0.0,6944.0,0.0,0.0,0.0
1850.0,569.0,0.0,0.0,0.0,7222.0,0.0,0.0,0.0
1860.0,1061.0,0.0,0.0,0.0,6944.0,0.0,0.0,0.0
1870.0,1641.0,0.0,6.0,0.0,6944.0,0.0,0.0,0.0
1880.0,2541.0,0.0,33.0,0.0,6944.0,0.0,0.0,0.0
1890.0,3855.0,0.0,88.0,33.0,6666.0,0.0,13.0,0.0
1900.0,5727.0,0.0,186.0,63.0,6111.0,0.0,16.0,0.0
1910.0,8655.0,0.0,397.0,141.0,6388.0,0.0,33.0,0.0
1920.0,9833.0,0.0,889.0,233.0,6944.0,0.0,63.0,0.0
1930.0,10125.0,0.0,1756.0,602.0,7222.0,0.0,130.0,0.0
1940.0,11586.0,0.0,2653.0,875.0,7222.0,0.0,191.0,0.0
1950.0,12602.0,0.0,5445.0,2091.0,7500.0,0.0,333.0,0.0
1960.0,15441.0,0.0,11097.0,4472.0,8888.0,0.0,688.0,0.0
1965.0,16322.0,0.0,17740.0,6823.0,9162.0,5.0,919.0,25.0
1966.0,16512.0,0.0,19104.0,7426.0,9218.0,6.0,986.0,34.0
1967.0,16247.0,0.0,20469.0,7961.0,9274.0,6.0,1009.0,42.0
1968.0,16493.0,0.0,22225.0,8668.0,9330.0,7.0,1059.0,52.0
1969.0,17008.0,0.0,24130.0,9510.0,9387.0,7.0,1122.0,63.0
1970.0,17244.0,0.0,26202.0,10350.0,9444.0,10.0,1174.0,78.0
1971.0,17139.0,0.0,27745.0,11048.0,9498.0,12.0,1221.0,110.0
1972.0,17338.0,0.0,29867.0,11634.0,9553.0,13.0,1277.0,150.0
1973.0,17673.0,0.0,32788.0,11377.0,9608.0,32.0,1293.0,533.0
1974.0,17687.0,0.0,32314.0,11656.0,9663.0,34.0,1419.0,693.0
1975.0,18031.0,0.0,31986.0,11661.0,9718.0,34.0,1440.0,959.0
1976.0,18688.0,0.0,34076.0,12355.0,9774.0,38.0,1435.0,1141.0
1977.0,19241.0,0.0,35237.0,12761.0,9830.0,41.0,1473.0,1409.0
1978.0,19457.0,0.0,36450.0,13295.0,9886.0,43.0,1589.0,1630.0
1979.0,20360.0,0.0,37065.0,14119.0,9943.0,46.0,1668.0,1683.0
1980.0,20857.0,0.0,35605.0,14237.0,10000.0,49.0,1699.0,1872.0
1981.0,21149.0,0.0,34316.0,14395.0,10106.0,53.0,1725.0,2200.0
1982.0,21384.0,0.0,33257.0,14470.0,10213.0,61.0,1797.0,2412.0
1983.0,22040.0,0.0,33047.0,14704.0,10321.0,68.0,1879.0,2709.0
1984.0,22997.0,0.0,33809.0,15903.0,10430.0,76.0,1941.0,3275.0
1985.0,23906.0,0.0,33861.0,16261.0,10541.0,78.0,1980.0,3918.0
1986.0,24183.0,0.0,34888.0,16421.0,10653.0,86.0,2007.0,4197.0
1987.0,25145.0,0.0,35583.0,17282.0,10765.0,92.0,2035.0,4565.0
1988.0,25890.0,0.0,36772.0,18089.0,10879.0,94.0,2099.0,4977.0
1989.0,26152.0,0.0,37373.0,18894.0,10995.0,104.0,2087.0,5119.0
1990.0,25818.0,0.0,37812.0,19485.0,11111.0,117.0,2161.0,5264.0
1991.0,25533.0,1.0,37817.0,19976.0,11243.0,121.0,2213.0,5516.0
1992.0,25466.0,0.0,38463.0,19979.0,11376.0,130.0,2212.0,5558.0
1993.0,25587.0,1.0,38223.0,20270.0,11511.0,135.0,2344.0,5750.0
1994.0,25722.0,1.0,39070.0,20394.0,11647.0,140.0,2360.0,5858.0
1995.0,25856.0,1.0,39587.0,21109.0,11785.0,146.0,2489.0,6112.0
1996.0,26511.0,1.0,40521.0,22164.0,11925.0,150.0,2524.0,6334.0
1997.0,26533.0,1.0,41572.0,22035.0,12066.0,161.0,2570.0,6290.0
1998.0,26342.0,1.0,41787.0,22439.0,12209.0,169.0,2591.0,6398.0
1999.0,26527.0,1.0,42533.0,23074.0,12414.0,177.0,2608.0,6643.0
2000.0,27422.0,1.0,43058.0,23991.0,12500.0,185.0,2655.0,6792.0
2001.0,27876.0,1.0,43449.0,24325.0,12500.0,191.0,2586.0,6984.0
2002.0,28957.0,2.0,43825.0,25046.0,12470.0,206.0,2634.0,7095.0
2003.0,31507.0,2.0,44812.0,25735.0,12329.0,217.0,2629.0,6952.0
2004.0,33687.0,3.0,46504.0,26717.0,12160.0,235.0,2805.0,7256.0
2005.0,36152.0,4.0,47113.0,27445.0,12076.0,255.0,2916.0,7287.0
2006.0,38044.0,6.0,47719.0,28137.0,11993.0,272.0,3027.0,7378.0
2007.0,40173.0,8.0,48426.0,29290.0,11911.0,295.0,3079.0,7227.0
